Dzielnica,Metraż,Pokoje,Piętro,Cena
Śródmieście,97.18,4,2,3375352.0
Praga-Północ,42.49,2,2,705666.0
Mokotów,50.9,2,2,1481190.0
Praga-Północ,38.82,1,2,690996.0
Praga-Południe,40.0,2,2,659000.0
Wola,58.65,3,2,1096755.0
Mokotów,87.2,4,2,1264400.0
Białołęka,70.12,3,2,999210.0
Bemowo,43.42,2,2,814266.0
Ursynów,29.08,1,2,684201.0
Ursus,50.16,3,2,797544.0
Praga-Południe,50.0,2,2,675000.0
Mokotów,37.5,2,2,1050000.0
Mokotów,40.5,2,2,1000000.0
Bielany,70.0,3,2,1499999.0
Praga-Południe,48.0,2,2,910000.0
Białołęka,63.61,3,2,851046.0
Mokotów,45.58,2,2,774162.0
Włochy,37.71,2,2,657941.0
Praga-Południe,54.26,2,2,1291388.0
Białołęka,48.38,2,2,638616.0
Wawer,43.81,2,2,731627.0
Białołęka,70.1,3,2,911230.0
Śródmieście,55.04,3,2,1816320.0
Białołęka,38.0,2,2,570000.0
Ursus,66.23,4,2,1017955.0
Wawer,42.04,2,2,641775.0
Mokotów,79.17,4,2,1425060.0
Wilanów,113.26,4,2,3270068.0
Ursus,43.84,2,2,697056.0
Wola,127.71,5,2,2799000.0
Wawer,107.59,4,2,1270000.0
Białołęka,52.66,3,2,605590.0
Wola,46.56,2,2,1606320.0
Bemowo,41.38,2,2,707598.0
Bemowo,29.9,2,2,570000.0
Praga-Południe,40.0,1,2,669000.0
Praga-Południe,40.0,2,2,659000.0
Ochota,47.0,3,2,1020000.0
Śródmieście,35.46,2,2,849000.0
Mokotów,53.0,2,2,1340000.0
Praga-Południe,78.2,4,2,1050000.0
Wilanów,96.01,4,2,2016210.0
Praga-Północ,73.71,3,2,1348893.0
Białołęka,70.14,4,2,1006509.0
Mokotów,41.47,1,2,1305488.0
Ursus,50.44,3,2,807758.0
Białołęka,54.85,3,2,704222.0
Białołęka,66.43,4,2,730730.0
Mokotów,53.53,2,2,927516.0
Targówek,107.09,5,2,1317207.0
Żoliborz,62.09,3,2,1677000.0
Ochota,34.34,1,2,894900.0
Białołęka,33.23,2,2,498450.0
Mokotów,65.59,4,2,835000.0
Wola,52.29,2,2,975000.0
Wawer,80.28,4,2,960852.0
Bemowo,41.94,2,2,748629.0
Ursus,43.76,2,2,714620.0
Mokotów,39.0,2,2,640000.0
Mokotów,49.51,2,2,1470000.0
Targówek,35.41,2,2,543143.0
Białołęka,104.64,4,2,1035936.0
Wawer,124.77,5,2,1350000.0
Bemowo,63.55,3,2,1073995.0
Praga-Północ,52.57,2,2,1471960.0
Ursus,58.65,3,2,950130.0
Ochota,47.96,2,2,759000.0
Praga-Północ,58.11,3,2,1330719.0
Praga-Południe,78.2,4,2,1050000.0
Mokotów,34.49,2,2,726014.0
Włochy,25.45,1,2,497322.0
Mokotów,31.32,2,2,783000.0
Wola,40.64,2,2,837184.0
